year,month,date_full,date_short,group,unit,inflation_deflator,real_total_wealth,real_wealth_share,real_wealth_per_unit_growth,real_wealth_per_unit,real_wealth_growth_rate_per_unit_to_previous_period,real_wealth_growth_factor_per_unit_indexed,real_wealth_growth_rate_per_unit_indexed,variance_real_wealth
1977,1,01/01/1977,Jan-77,Top 1%,adult,0.24811985,4.31E+12,0.225894363,0.042158227,2967485.566,0.042158227,1.042158227,0.042158227,21143135371
1977,1,01/01/1977,Jan-77,Top 10%-1%,adult,0.24811985,8.16E+12,0.427325196,0.039048157,623733.7051,0.039048157,1.039048157,0.039048157,934094007.4
1977,1,01/01/1977,Jan-77,Middle 40%,adult,0.24811985,6.43E+12,0.336653639,0.039222297,110562.1672,0.039222297,1.039222297,0.039222297,29349806.74
1977,1,01/01/1977,Jan-77,Bottom 50%,adult,0.24811985,1.93E+11,0.010126802,0.055540509,2660.636315,0.055540509,1.055540509,0.055540509,16996.64443
1977,2,01/02/1977,Feb-77,Top 1%,adult,0.24981761,4.29E+12,0.225135693,0.033730476,2943488.029,0.033730476,1.033730476,0.033730476,20802556392
1977,2,01/02/1977,Feb-77,Top 10%-1%,adult,0.24981761,8.14E+12,0.427743946,0.035132029,621382.8793,0.035132029,1.035132029,0.035132029,927066155.2
1977,2,01/02/1977,Feb-77,Middle 40%,adult,0.24981761,6.41E+12,0.336797716,0.034734621,110084.7263,0.034734621,1.034734621,0.034734621,29096871.39
1977,2,01/02/1977,Feb-77,Bottom 50%,adult,0.24981761,1.97E+11,0.010322647,0.070849331,2699.224327,0.070849331,1.070849331,0.070849331,17493.23453
1977,3,01/03/1977,Mar-77,Top 1%,adult,0.25086153,4.28E+12,0.224522774,0.029796493,2932286.238,0.029796493,1.029796493,0.029796493,20644524504
1977,3,01/03/1977,Mar-77,Top 10%-1%,adult,0.25086153,8.16E+12,0.428063911,0.034781204,621172.2819,0.034781204,1.034781204,0.034781204,926437864.1
1977,3,01/03/1977,Mar-77,Middle 40%,adult,0.25086153,6.42E+12,0.336918104,0.033980224,110004.4666,0.033980224,1.033980224,0.033980224,29054459.38
1977,3,01/03/1977,Mar-77,Bottom 50%,adult,0.25086153,2.00E+11,0.010495212,0.087568309,2741.366831,0.087568309,1.087568309,0.087568309,18043.73613
1977,4,01/04/1977,Apr-77,Top 1%,adult,0.25213343,4.29E+12,0.224360029,0.031090952,2935972.137,0.031090952,1.031090952,0.031090952,20696457671
1977,4,01/04/1977,Apr-77,Top 10%-1%,adult,0.25213343,8.20E+12,0.428277695,0.037351293,622715.0889,0.037351293,1.037351293,0.037351293,931045570.7
1977,4,01/04/1977,Apr-77,Middle 40%,adult,0.25213343,6.44E+12,0.336807886,0.035691983,110186.5795,0.035691983,1.035691983,0.035691983,29150738.59
1977,4,01/04/1977,Apr-77,Bottom 50%,adult,0.25213343,2.02E+11,0.010554387,0.095869512,2762.291163,0.095869512,1.095869512,0.095869512,18320.23618
1977,5,01/05/1977,May-77,Top 1%,adult,0.25311369,4.32E+12,0.22446526,0.036641441,2951776.834,0.036641441,1.036641441,0.036641441,20919880527
1977,5,01/05/1977,May-77,Top 10%-1%,adult,0.25311369,8.25E+12,0.428447287,0.04285934,626021.5332,0.04285934,1.04285934,0.04285934,940959007
1977,5,01/05/1977,May-77,Middle 40%,adult,0.25311369,6.48E+12,0.336543924,0.039963413,110641.0141,0.039963413,1.039963413,0.039963413,29391683.02
1977,5,01/05/1977,May-77,Bottom 50%,adult,0.25311369,2.03E+11,0.010543535,0.100119862,2773.004762,0.100119862,1.100119862,0.100119862,18462.62254
1977,6,01/06/1977,Jun-77,Top 1%,adult,0.25411159,4.35E+12,0.22459962,0.042047789,2967171.099,0.042047789,1.042047789,0.042047789,21138654505
1977,6,01/06/1977,Jun-77,Top 10%-1%,adult,0.25411159,8.31E+12,0.428758943,0.048433086,629367.4159,0.048433086,1.048433086,0.048433086,951044129.5
1977,6,01/06/1977,Jun-77,Middle 40%,adult,0.25411159,6.52E+12,0.336178711,0.04362795,111030.8817,0.04362795,1.04362795,0.04362795,29599183.92
1977,6,01/06/1977,Jun-77,Bottom 50%,adult,0.25411159,2.03E+11,0.010462735,0.096726131,2764.450391,0.096726131,1.096726131,0.096726131,18348.8885
1977,7,01/07/1977,Jul-77,Top 1%,adult,0.25490108,4.37E+12,0.224536199,0.045000074,2975577.561,0.045000074,1.045000074,0.045000074,21258602433
1977,7,01/07/1977,Jul-77,Top 10%-1%,adult,0.25490108,8.36E+12,0.429295601,0.053016801,632118.9895,0.053016801,1.053016801,0.053016801,959378174.9
1977,7,01/07/1977,Jul-77,Middle 40%,adult,0.25490108,6.54E+12,0.335821164,0.045766903,111258.4435,0.045766903,1.045766903,0.045766903,29720637.44
1977,7,01/07/1977,Jul-77,Bottom 50%,adult,0.25490108,2.02E+11,0.010347037,0.087978425,2742.400583,0.087978425,1.087978425,0.087978425,18057.34706
